slug,title,description,treatment,hospital,doctor,treatment_price
hair-transplant-dermaclinix-south-delhi,"Hair Transplant at Derma Clinix, South Delhi","<p>A hair transplant is a surgical procedure that moves healthy hair follicles from a donor area (usually the back or sides of the scalp) to bald or thinning areas. It offers a permanent, natural-looking solution for hair loss in both men and women. The most popular techniques include Follicular Unit Extraction (FUE) and Follicular Unit Transplantation (FUT), which provide minimal scarring and fast recovery. Benefits include improved appearance, boosted confidence, and long-lasting results. Hair transplant procedures today are safer and more precise thanks to advanced tools and expert care, making it an ideal option for restoring lost hair.</p><p>
Derma Clinix uses cutting-edge technology like the Trivellini FUE system and implanters such as SAVA and Choi pens for precise, scar-free results. Backed by experienced dermatologists and AI-assisted planning, they offer customized treatments with high success rates. Their modern approach ensures natural growth, faster recovery, and patient satisfaction.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'DermaClinix, South Delhi', 'slug': 'dermaclinix-south-delhi', 'mini_content': 'Expert skin and hair care by top doctors at Dermaclinix Delhi.', 'content': '<p data-start=""397"" data-end=""760"">Dermaclinix Delhi stands as one of the most trusted and advanced skin and hair clinics in the capital. Located in the heart of Delhi, our clinic is led by a team of highly qualified dermatologists and trichologists with years of clinical and surgical experience. We specialize in offering both medical and cosmetic treatments tailored to each patient\'s needs. Our services include cutting-edge hair transplant techniques like FUE and FUT, PRP therapy, acne and scar removal, anti-aging solutions, and a wide range of laser treatments. At Dermaclinix Delhi, we combine personalized care with the latest medical technology to ensure safe, effective, and lasting results. Whether you\'re dealing with chronic skin issues, hair thinning, pigmentation, or simply want to rejuvenate your skin, our team is committed to helping you achieve healthy, glowing skin and natural-looking hair. Thousands of satisfied patients have trusted us to restore their confidence and we’re here to do the same for you.</p>', 'location': 'Defence Colony, New Delhi'}","[{'name': 'Dr. Amrendra Kumar', 'qualification': 'M.B.B.S (2000-2007) Patna Medical college & Hospital, M.D Dermatology (2008-2011) All India Institute of Medical Sciences (AIIMS)', 'specialization': 'Hair Transplant'}]","{'min_price': '50000.00', 'max_price': '80000.00', 'currency': 'INR'}"
hair-transplant-jaya-skin-clinic-greater-kailash,Advanced Hair Transplant Solutions at Jaya Skin Clinic,"<p>Hair transplant is a safe, minimally invasive procedure that restores natural hair by moving healthy follicles from a donor area to thinning or balding regions. It offers a permanent, natural-looking solution for hair loss, blending seamlessly with your existing hair. The procedure boosts self-confidence, improves appearance, and eliminates the emotional distress associated with baldness. Maintenance is minimal, as transplanted hair grows like normal hair without special products. Choosing a hair transplant means investing in a long-term, cost-effective solution that enhances your quality of life and helps you regain your youthful look and self-esteem.</p><p style=""margin-bottom: 0px;"">Jaya Skin Clinic in Greater Kailash stands out for its advanced techniques, experienced specialists, and personalized care. The clinic uses clinically proven equipment and ensures safe, effective results tailored to each patient. With a focus on natural outcomes and patient satisfaction, Jaya Skin Clinic is a trusted choice for hair restoration.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'Jaya Skin Clinic', 'slug': 'jaya-skin-clinic-greater-kailash', 'mini_content': 'Expert care and trusted healing at Jaya Clinic, Greater Kailash.', 'content': ""<p>Jaya Clinic in Greater Kailash is a trusted name in personalized healthcare, it offers a wide range expert medical care with compassion and precision. Known for its experienced doctors and patient-centric approach, the clinic provides comprehensive consultations, diagnostic services, and treatment plans tailored to individual needs. Whether you're seeking general health checkups, chronic illness management, or specialized care, Jaya Clinic ensures a comforting and professional environment for every patient. Equipped with modern facilities and a commitment to hygiene and safety, the clinic stands out for its quality services and consistent patient satisfaction. Located conveniently in the heart of GK, it serves as a reliable health partner for families and individuals alike. At Jaya Clinic, your well-being is the top priority, and every visit is met with empathy, respect, and clinical excellence. Choose Jaya Clinic in GK for healthcare that combines modern medicine with a human touch. Your health, our mission.</p><div><br></div>"", 'location': 'Greater Kailash I, New Delhi'}","[{'name': 'Dr. Jaya Gupta', 'qualification': 'MD - Dermatology, MBBS', 'specialization': 'Hair Transplant specialist'}]","{'min_price': '45000.00', 'max_price': '80000.00', 'currency': 'INR'}"
hair-transplant-goyal-skin-hair-clinic-rohini-delhi-1,"Hair Transplant at Goyal Skin And Hair Clinic, North West Delhi","<p>Hair transplant is a modern surgical technique that moves healthy hair follicles from dense areas to bald or thinning spots, offering a permanent and natural hair restoration solution. It is essential because it helps individuals regain lost hair, boosting confidence and enhancing appearance. The procedure is minimally invasive, safe, and requires little maintenance, providing long-lasting, cost-effective results. Tailored to each patient’s unique hair pattern, it ensures natural growth and a fuller look. Hair transplant not only improves physical appearance but also positively impacts emotional well-being, making it a valuable choice for those struggling with hair loss.</p><p>At Goyal Skin and Hair Clinic, Rohini, patients receive expert care using the latest technology. The clinic emphasizes personalized treatment plans, safety, and natural results. Their experienced team ensures a comfortable experience and successful hair restoration, making it a preferred choice for effective hair transplant solutions.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'Goyal Skin & Hair Clinic', 'slug': 'goyal-skin-hair-clinic-rohini-delhi', 'mini_content': 'Goyal Skin & Hair Clinic is a premier aesthetic clinic', 'content': '<p>Goyal Skin &amp; Hair Clinic is a trusted place for modern skin, hair, and aesthetic treatments. The clinic offers services like laser hair removal, PRP therapy, acne and pigmentation correction, anti-aging care, and non-surgical skin rejuvenation. It’s especially known for its precise FUE and FUT hair transplants. Every treatment is tailored to each person’s needs, with a strong focus on safety, comfort, and real, visible results. The clinic is led by Dr. Hitesh Gupta, a highly qualified and experienced surgeon known for his careful approach and dedication to quality care. Together with their expert team, they aim to help every patient look and feel their best, delivering noticeable results with a caring, professional touch.</p>', 'location': 'Rohini, Delhi'}","[{'name': 'Dr. Hitesh Gupta', 'qualification': 'MBBS , MS , MCH AIIMS DELHI , MRCS ( LONDON ) PLASTIC SURGEON', 'specialization': 'Hair Transplant specialist'}]","{'min_price': '50000.00', 'max_price': '80000.00', 'currency': 'INR'}"
hair-transplant-elite-clinic-rohini,Advanced Hair Transplant Solutions at  Elite Clinic,"<p>Hair transplant is a transformative procedure that relocates your own healthy hair follicles to thinning or bald areas, delivering a natural and undetectable result. It’s important because it addresses hair loss permanently, restoring not just hair but also self-esteem and confidence. Unlike temporary solutions, transplanted hair grows naturally and requires no special maintenance, letting you style, cut, or color as desired. The procedure is minimally invasive, with quick recovery and long-term benefits. Choosing a hair transplant means investing in a lasting solution that enhances appearance, emotional well-being, and overall quality of life.</p><p style=""margin-bottom: 0px;"">Elite Clinic Rohini stands out for its skilled surgeons, personalized approach, and use of advanced, clinically proven techniques. The clinic prioritizes patient safety, comfort, and natural-looking outcomes. With a reputation for transparent care and high satisfaction, Elite Clinic offers a supportive environment and consistently delivers outstanding hair restoration results.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'Elite Clinic', 'slug': 'elite-clinic-rohini', 'mini_content': 'Elite Clinic, led by Dr. Shilpi Bansal, offers personalized skin and hair treatments using advanced technology and a compassionate, patient-first approach.', 'content': '<p>Elite Clinic in Rohini is a trusted destination for personalized skin and hair care, led by the experienced and compassionate Dr. Shilpi Bansal. Known for her warm approach and deep expertise in dermatology, Dr. Bansal ensures that every patient receives tailored treatments designed to bring out their natural beauty. The clinic offers a wide range of services including laser hair removal, PRP therapy, acne and pigmentation treatments, chemical peels, HydraFacial, anti-aging solutions, and hair fall management. What truly sets Elite Clinic apart is its focus on safe, effective, and comfortable care using the latest USFDA-approved technology. Patients appreciate the clinic’s clean, modern environment and the honest, transparent consultations that guide each treatment journey. Whether you’re looking to treat a skin concern or simply want to rejuvenate your appearance, Elite Clinic provides results you can trust with care you can feel.&nbsp;</p>', 'location': 'Rohini, Delhi'}","[{'name': 'Dr. Shilpi Bansal', 'qualification': 'MD - Dermatology , Venereology & Leprosy, MBBS', 'specialization': 'Hair Transplant specialist'}]","{'min_price': '45000.00', 'max_price': '80000.00', 'currency': 'INR'}"
hair-transplant-skinprayag-rohini,Best Hair Transplant Solutions at SkinPrayag,"<p>Hair transplant is a scientifically proven procedure that relocates healthy hair follicles to areas affected by thinning or baldness, restoring a natural hairline and density. This technique is important because it offers a permanent solution to hair loss, which can significantly impact self-image and confidence. Unlike temporary fixes, transplanted hair grows naturally, allowing for regular styling and no special care. Procedures like FUE and FUT are minimally invasive, virtually painless, and leave no visible scars. Choosing hair transplant means regaining a youthful appearance, enjoying lasting results, and eliminating the worry of ongoing hair fall or patchy coverage.</p><p style=""margin-bottom: 0px;"">SkinPrayag Clinic in Rohini is led by experienced dermatologists Dr. Kapil Jain and Dr. Anu Jain, offering personalized care and advanced techniques. The clinic is centrally located, uses the latest technology, and maintains high safety standards. Patients benefit from transparent advice, natural results, and a supportive, patient-friendly environment.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'SkinPrayag', 'slug': 'skinprayag-rohini', 'mini_content': 'Skin Prayag Clinic, led by Dr. Kapil Jain and Dr. Anu Jain, offers advanced dermatology and aesthetic treatments using USFDA-approved technology. Their services include acne care, PRP, Botox, fillers, laser therapies, and HydraFacial—all delivered with personalized, expert care.', 'content': '<p>Skin Prayag Clinic is a well-established and trusted name in advanced dermatology and aesthetic care, founded in 2007 by Dr. Kapil Jain and Dr. Anu Jain. With over 20 years of experience, Dr. Kapil specializes in clinical dermatology, cosmetology, and hair transplant surgery, while Dr. Anu brings expertise in cosmetic dermatology and skin surgeries. The clinic offers a wide range of treatments including acne and pigmentation correction, PRP therapy, chemical peels, mesotherapy, Botox, fillers, thread lifts, microblading, laser hair removal, tattoo removal, carbon peels, HydraFacial, and non-surgical body contouring. Equipped with USFDA-approved technologies, Skin Prayag Clinic ensures precision, safety, and visible results with minimal downtime. Each patient receives personalized care through thorough consultations and scientifically backed treatment plans. With a strong emphasis on ethical practice, natural-looking outcomes, and long-term skin health</p>', 'location': 'Rohini, New Delhi'}","[{'name': 'Dr. Anu Jain', 'qualification': 'MBBS, MD - Dermatology , Venereology & Leprosy', 'specialization': 'Hair Transplant specialist'}]","{'min_price': '40000.00', 'max_price': '80000.00', 'currency': 'INR'}"
hair-transplant-priyadarshni-skin-clinic,Best Hair Transplant Solutions at Priyadarshni Skin Clinic,"<p>Hair transplant is a medically advanced solution that permanently restores hair by relocating healthy follicles to areas affected by thinning or baldness. This procedure is important because it effectively addresses hair loss, which can impact self-confidence and social interactions. Unlike temporary treatments, transplanted hair grows naturally, blending seamlessly with existing hair and requiring no special care. The process is minimally invasive, with quick recovery and long-lasting results. Patients benefit from improved appearance, renewed self-esteem, and freedom from the limitations of wigs or concealers. Hair transplant offers a reliable, natural, and cost-effective way to regain a youthful, confident look.</p><p style=""margin-bottom: 0px;"">Priyadarshni Skin Clinic in Dilshad Garden, led by Dr. Smita Priyadarshni, offers state-of-the-art hair transplant solutions using advanced technology and personalized care. The clinic is known for its accessible location, professional environment, and commitment to patient satisfaction, making it a trusted choice for natural and effective hair restoration.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'Priyadarshni Skin Clinic', 'slug': 'priyadarshni-skin-clinic', 'mini_content': 'Priyadarshni Skin Clinic offers advanced, personalized care for skin and hair concerns, combining expert dermatology with USFDA-approved technology in a warm, patient-focused setting.', 'content': '<p>Priyadarshni Skin Clinic is a trusted destination for expert skin and hair care, led by Dr. Smita Priyadarshni, a compassionate and highly skilled dermatologist with over 12 years of experience and training from PGIMER, Chandigarh. Known for her honest consultations and patient-first approach, Dr. Smita combines deep clinical knowledge with genuine care. The clinic specializes in treating a wide range of conditions including acne, pigmentation, hair fall, vitiligo, pediatric skin issues, and nail disorders. What truly sets the clinic apart is its use of advanced, USFDA-approved technology for aesthetic procedures like laser hair removal, tattoo removal, carbon peels, and fractional CO₂ laser treatments. In addition, they offer modern solutions such as PRP therapy, mesotherapy, chemical peels, Botox, dermal fillers, and anti-aging treatments. Every service is customized to suit individual needs, ensuring safe, effective, and natural-looking results. At Priyadarshni Skin Clinic, science meets empathy, offering a personalized path to healthy, confident skin.</p>', 'location': 'Dilshad Garden, Delhi'}","[{'name': 'Dr. Smita Priyadarshni', 'qualification': 'MBBS, MD – Dermatology , Venereology & Leprosy', 'specialization': 'Hair Transplant'}]","{'min_price': '45000.00', 'max_price': '80000.00', 'currency': 'INR'}"
hair-transplant-rakshaa-aesthetics-pitampura-delhi,Best Hair Transplant Solutions at  Rakshaa Aesthetics,"<p>Hair transplant is a precise surgical procedure that moves healthy hair follicles to bald or thinning areas, providing a permanent and natural solution to hair loss. It is important because hair loss affects not only appearance but also self-confidence and social well-being. Transplanted hair grows naturally and requires no special maintenance, making it a lasting investment in one’s look. The procedure is minimally invasive with quick recovery, offering a safe way to restore hair density and improve overall appearance. Hair transplant enhances self-esteem and helps individuals feel more youthful and confident in their daily lives.</p><p style=""margin-bottom: 0px;"">Raksha Aesthetics Pitampura combines expert surgeons with the latest technology to deliver natural, long-lasting hair transplant results. The clinic emphasizes personalized treatment plans, patient comfort, and safety, ensuring high satisfaction. Its reputation for effective, discreet care makes it a preferred destination for hair restoration in Pitampura.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'Rakshaa Aesthetics', 'slug': 'rakshaa-aesthetics-pitampura-delhi', 'mini_content': 'Rakshaa Aesthetics in Pitampura offers advanced skin and aesthetic treatments like Botox, fillers, lasers, and HydraFacial, led by expert dermatologists using USFDA-approved technology.', 'content': ""<p>Rakshaa Aesthetics in Pitampura is a modern, patient focused skin and aesthetic clinic known for combining expert care with the latest technology. Led by Dr. Rakesh Jangra and Dr. Shaurya Thakran, both experienced dermatologists, the clinic offers customized treatments designed to enhance your natural beauty. Whether you're looking for a refreshed appearance or want to target specific skin concerns, Rakshaa provides safe, non-surgical solutions using USFDA-approved technology. Their aesthetic services include Botox, dermal fillers, lip augmentation, thread lifts, and non-surgical rhinoplasty all performed with precision and care. For skin rejuvenation, they offer chemical peels, carbon peels, microneedling, fractional lasers, HydraFacial, and laser toning. They also specialize in microblading, micropigmentation, and radiofrequency-based mole and skin tag removal. Every treatment at Rakshaa is thoughtfully planned and delivered in a clean, calming environment. With a focus on natural-looking results and patient satisfaction,</p>"", 'location': 'Pitampura, Delhi'}","[{'name': 'Dr. Rakesh Jangra', 'qualification': 'MD - Dermatology , Venereology & Leprosy, MBBS', 'specialization': 'Hair Transplant'}]","{'min_price': '50000.00', 'max_price': '80000.00', 'currency': 'INR'}"
hair-transplant-oliva-skin-and-hair-clinic-pitampura,Best Hair Transplant Solutions at Oliva Skin & Hair Clinic,"<p>Hair transplant is a proven surgical solution that relocates healthy hair follicles to thinning or bald areas, restoring a natural hairline and fullness. This procedure is important because it offers a permanent, natural-looking answer to hair loss, significantly boosting confidence and self-esteem. Transplanted hair grows and behaves like your own, requiring no special maintenance and allowing for regular styling. Unlike temporary fixes, hair transplant is cost-effective over time and eliminates the need for ongoing treatments or products. The minimally invasive process ensures quick recovery and long-lasting results, helping individuals regain a youthful appearance and improved quality of life.</p><p style=""margin-bottom: 0px;"">Oliva Skin &amp; Hair Clinic stands out for its team of skilled dermatologists, cutting-edge technology, and patient-centric approach. The clinic offers customized treatment plans, prioritizing natural results and safety. With a reputation for ethical care and high satisfaction rates, Oliva ensures a seamless, comfortable experience for every hair restoration journey.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'Oliva Skin and Hair Clinic', 'slug': 'oliva-skin-and-hair-clinic-pitampura', 'mini_content': 'Oliva Clinic in Pitampura blends medical expertise with cutting-edge aesthetics, offering personalized solutions for skin rejuvenation, anti-aging, and advanced hair restoration.', 'content': ""<p>Oliva Skin &amp; Hair Clinic in Pitampura is a trusted destination for advanced skin and hair treatments, known for its welcoming atmosphere and personalized care. The clinic is led by Dr. Bhawna Chaudhary, who specialize in aesthetic dermatology and are committed to delivering safe, effective, and natural-looking results. They take a thoughtful, client focused approach, ensuring each treatment is tailored to individual needs. Oliva offers a wide range of aesthetic services using USFDA-approved technology, including Botox, dermal fillers, chemical peels, laser toning, fractional laser resurfacing, laser hair removal, PRP therapy, microdermabrasion, microneedling, and radiofrequency based mole and skin tag removal. Whether you're addressing acne scars, signs of aging, or hair thinning, the clinic combines science-backed procedures with compassionate care. Patients often see noticeable improvements in just a few sessions, making Oliva a go-to clinic for modern, non-surgical skin and hair solutions.</p>"", 'location': 'Pitampura, Delhi'}","[{'name': 'Dr. Bhawna Chaudhary', 'qualification': 'MBBS, MD - Dermatology , Venereology & Leprosy', 'specialization': 'Hair Transplant specialist'}]","{'min_price': '50000.00', 'max_price': '80000.00', 'currency': 'INR'}"
laser-hair-removal-the-face-clinic,Advance Laser Hair Remover,"<p>Laser hair removal is a safe, effective, and long-term solution for unwanted hair. It targets hair follicles using advanced laser technology, reducing hair growth over time. The treatment is quick, virtually painless, and suitable for all skin types. It leaves skin smooth, saves time, and eliminates the need for shaving or waxing.</p><p><br></p><p>The Face Clinic offers expert laser hair removal services using FDA-approved technology and experienced professionals. They ensure personalized care, hygienic procedures, and visible results in fewer sessions. With advanced equipment, affordable pricing, and a strong reputation for client satisfaction, The Face Clinic is a trusted choice for lasting hair-free skin.</p><p><br></p>","{'name': 'Laser Hair Removal', 'slug': 'laser-hair-removal'}","{'title': 'The Face Clinic', 'slug': 'the-face-clinic', 'mini_content': 'Best skin Clinic in Delhi, Dr. Reema Arora with over 18 years of experience.', 'content': '<p>The Face Clinic in Hauz\u202fKhas, New\u202fDelhi is a leading non-surgical aesthetic center helmed by Dr\u202fReema Arora, a cosmetic dermatologist with over 18 years of expertise. Dr Arora, previously Medical Head of Facial Aesthetics at Allergan India, has trained more than 1,500 doctors in injectables and advanced facial rejuvenation. The clinic offers customized treatments tailored to Indian skin, including Botox, skin boosters, chemical peels, laser hair removal, hydra facials, microdermabrasion, PDO thread lifts, HIFU skin tightening, chin and nose augmentation, non-surgical facelifts, and pigmentation or acne scar therapy. Open Monday through Saturday from 10\u202fAM to 6\u202fPM at C‑36 Lower Ground Floor near the Hauz\u202fKhas police station, the clinic features a warm, professional atmosphere with strict hygiene standards and internationally approved protocols. Clients praise its honest, patient-centric approach no upselling, thorough explanations, and natural-looking results like improved texture, hydration, pigmentation correction, youthful glow, and minimal downtime making it a trusted destination in South Delhi.The Face Clinic in Hauz\u202fKhas, New\u202fDelhi is a leading non-surgical aesthetic center helmed by Dr\u202fReema Arora, a cosmetic dermatologist with over 18 years of expertise. Dr Arora, previously Medical Head of Facial Aesthetics at Allergan India, has trained more than 1,500 doctors in injectables and advanced facial rejuvenation. The clinic offers customized treatments tailored to Indian skin, including Botox, skin boosters, chemical peels, laser hair removal, hydra facials, microdermabrasion, PDO thread lifts, HIFU skin tightening, chin and nose augmentation, non-surgical facelifts, and pigmentation or acne scar therapy. Open Monday through Saturday from 10\u202fAM to 6\u202fPM at C‑36 Lower Ground Floor near the Hauz\u202fKhas police station, the clinic features a warm, professional atmosphere with strict hygiene standards and internationally approved protocols. Clients praise its honest, patient-centric approach no upselling, thorough explanations, and natural-looking results like improved texture, hydration, pigmentation correction, youthful glow, and minimal downtime making it a trusted destination in South Delhi.</p><div style=""box-sizing: border-box;""><br style=""box-sizing: border-box; color: rgb(0, 0, 0); font-family: sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""></div><div><br></div>', 'location': 'Hauz Khas, New Delhi'}","[{'name': 'Dr. Reema Arora', 'qualification': 'Cosmetic Dermatology', 'specialization': 'Aesthetic Dermatology'}]","{'min_price': '10000.00', 'max_price': '20000.00', 'currency': 'INR'}"
hair-transplant-south-delhi-cosmetic-clinic,Expert Hair Transplant,"<p>Hair transplant is a safe, permanent solution for hair loss that uses your own hair follicles to restore natural growth. It offers long-lasting, natural-looking results with minimal maintenance and a quick recovery. Ideal for both men and women, it enhances appearance, boosts confidence, and provides a cost-effective alternative to temporary treatments.</p><p><br></p><p>South Delhi Cosmetic Clinic is a trusted name in hair restoration, offering advanced FUE and FUT techniques, skilled surgeons, and personalized care. The clinic ensures natural results, follows international hygiene standards, and provides transparent pricing with excellent post-treatment support. Choose this clinic for safe, effective, and reliable hair transplant solutions.</p>","{'name': 'Hair Transplant', 'slug': 'hair-transplant'}","{'title': 'South Delhi Cosmetic Clinic', 'slug': 'south-delhi-cosmetic-clinic', 'mini_content': 'South Delhi Cosmetic Clinic in CR Park South Delhi', 'content': '<p data-start=""90"" data-end=""157"">South Delhi Cosmetic Clinic in CR park South Delhi Cosmetic Clinic is one of the top-notch centers for cosmetic and plastic surgery. With the able supervision of Dr. S.K. Chawla&nbsp; the clinic provides a complete range of procedures, such as hair transplant, facial and body sculpting, breast and genital surgeries, and non-surgical procedures like Botox and laser treatments. With more than 15 years of experience, Dr. Chawla provides individualized care and natural-looking outcomes.</p>', 'location': 'C R Park, South Delhi'}","[{'name': 'Dr. Surendra Chawla', 'qualification': 'MBBS, MS (Surgery), MCh (Plastic and Reconstructive Surgery)', 'specialization': 'Cosmetic and Plastic Surgery'}]","{'min_price': '50000.00', 'max_price': '80000.00', 'currency': 'INR'}"
